AlturaObra,Cantidad,Porcentaje
DESCONOCIDO,5,0.7225433526011561
1636,2,0.2890173410404624
4942,2,0.2890173410404624
U.F.1,2,0.2890173410404624
930/32,2,0.2890173410404624
3361,2,0.2890173410404624
2155,2,0.2890173410404624
3068/72,2,0.2890173410404624
2254/62,2,0.2890173410404624
2256,2,0.2890173410404624
4580,2,0.2890173410404624
186,2,0.2890173410404624
2474/76,2,0.2890173410404624
1664,2,0.2890173410404624
2586/88,2,0.2890173410404624
2251/55,2,0.2890173410404624
3558,2,0.2890173410404624
3724/26,2,0.2890173410404624
651,2,0.2890173410404624
2818/22,2,0.2890173410404624
301,2,0.2890173410404624
1205/09,2,0.2890173410404624
1267,2,0.2890173410404624
3658,2,0.2890173410404624
715,2,0.2890173410404624
1317,2,0.2890173410404624
3775,2,0.2890173410404624
684/86,2,0.2890173410404624
3845,2,0.2890173410404624
1007/11,1,0.1445086705202312
104,1,0.1445086705202312
1015/17,1,0.1445086705202312
1030,1,0.1445086705202312
1030/32,1,0.1445086705202312
1032,1,0.1445086705202312
10581/99,1,0.1445086705202312
1035,1,0.1445086705202312
1180,1,0.1445086705202312
1040,1,0.1445086705202312
1042/46,1,0.1445086705202312
1051/53,1,0.1445086705202312
1055,1,0.1445086705202312
1055/69,1,0.1445086705202312
1183/85,1,0.1445086705202312
1184,1,0.1445086705202312
1005/09,1,0.1445086705202312
1006,1,0.1445086705202312
1126,1,0.1445086705202312
1005/07,1,0.1445086705202312
1135/37,1,0.1445086705202312
1115,1,0.1445086705202312
1118/20,1,0.1445086705202312
1119,1,0.1445086705202312
1122/24,1,0.1445086705202312
1342/54,1,0.1445086705202312
1127,1,0.1445086705202312
1128/32,1,0.1445086705202312
1144,1,0.1445086705202312
1031,1,0.1445086705202312
1146,1,0.1445086705202312
1151/57,1,0.1445086705202312
11674/78,1,0.1445086705202312
1177,1,0.1445086705202312
1071/73,1,0.1445086705202312
1065/83,1,0.1445086705202312
1061/65,1,0.1445086705202312
1391,1,0.1445086705202312
1451,1,0.1445086705202312
1343/47,1,0.1445086705202312
1279/87,1,0.1445086705202312
1210,1,0.1445086705202312
1218/20,1,0.1445086705202312
1230/36,1,0.1445086705202312
1233/39,1,0.1445086705202312
1238/64,1,0.1445086705202312
1245/49,1,0.1445086705202312
1311/15,1,0.1445086705202312
1285/89,1,0.1445086705202312
1350,1,0.1445086705202312
1288/92,1,0.1445086705202312
1295,1,0.1445086705202312
130/32,1,0.1445086705202312
130/34,1,0.1445086705202312
1302/06,1,0.1445086705202312
2080/84,1,0.1445086705202312
2101/65,1,0.1445086705202312
1191,1,0.1445086705202312
1190,1,0.1445086705202312
1239,1,0.1445086705202312
1186/94,1,0.1445086705202312
1357/61,1,0.1445086705202312
1375,1,0.1445086705202312
1376/80,1,0.1445086705202312
138,1,0.1445086705202312
1401/07,1,0.1445086705202312
1323,1,0.1445086705202312
1418,1,0.1445086705202312
1418/20,1,0.1445086705202312
1420/22,1,0.1445086705202312
1424/44,1,0.1445086705202312
1446,1,0.1445086705202312
1088,1,0.1445086705202312
146/48,1,0.1445086705202312
1325/27,1,0.1445086705202312
1312,1,0.1445086705202312
1096,1,0.1445086705202312
1887,1,0.1445086705202312
1084/86,1,0.1445086705202312
1582,1,0.1445086705202312
154/56,1,0.1445086705202312
1541/55,1,0.1445086705202312
1561/63,1,0.1445086705202312
1606,1,0.1445086705202312
1562/64,1,0.1445086705202312
1566/70,1,0.1445086705202312
1570/72,1,0.1445086705202312
16,1,0.1445086705202312
1521/55,1,0.1445086705202312
160,1,0.1445086705202312
1601/57,1,0.1445086705202312
1837,1,0.1445086705202312
1840/46,1,0.1445086705202312
1841,1,0.1445086705202312
2013/15,1,0.1445086705202312
1956/60,1,0.1445086705202312
