Calle,Cantidad,Porcentaje
QUESADA,6,0.8670520231213872
RIVADAVIA AV.,6,0.8670520231213872
CABILDO AV.,5,0.7225433526011561
TINOGASTA,5,0.7225433526011561
BLANCO ENCALADA,5,0.7225433526011561
"ACHA, MARIANO, GRAL.",5,0.7225433526011561
CORDOBA AV.,5,0.7225433526011561
"BONIFACIO, JOSE",5,0.7225433526011561
ZELADA,5,0.7225433526011561
ESTADO PLURINACIONAL DE BOLIVIA,5,0.7225433526011561
DIRECTORIO AV.,5,0.7225433526011561
TACUARI,4,0.5780346820809248
"ESCALADA DE SAN MARTIN, R.",4,0.5780346820809248
CERVANTES,4,0.5780346820809248
FRAY JUSTO SANTAMARIA DE ORO,4,0.5780346820809248
MURGUIONDO,4,0.5780346820809248
PARAGUAY,4,0.5780346820809248
SANTA FE AV.,4,0.5780346820809248
"SALGUERO, JERONIMO",4,0.5780346820809248
"BEIRO, FRANCISCO AV.",4,0.5780346820809248
GUEVARA,4,0.5780346820809248
BACACAY,4,0.5780346820809248
"GARCIA, TEODORO",4,0.5780346820809248
LLAVALLOL,4,0.5780346820809248
DEHEZA,3,0.4335260115606936
CORRIENTES AV.,3,0.4335260115606936
CUENCA,3,0.4335260115606936
"ALVAREZ, DONATO, TTE. GRAL.",3,0.4335260115606936
NAZARRE,3,0.4335260115606936
NAZCA AV.,3,0.4335260115606936
"VALLESE, FELIPE",3,0.4335260115606936
DE LOS CONSTITUYENTES AV.,3,0.4335260115606936
DIAZ VELEZ AV.,3,0.4335260115606936
"FERNANDEZ DE LA CRUZ, F., GRAL. AV.",3,0.4335260115606936
"CAMPOS, LUIS M. AV.",3,0.4335260115606936
"VEGA, NICETO, CNEL. AV.",3,0.4335260115606936
SOLER,3,0.4335260115606936
ARCOS,3,0.4335260115606936
INDEPENDENCIA AV.,3,0.4335260115606936
"RIVERA, PEDRO I., DR.",3,0.4335260115606936
NOGOYA,3,0.4335260115606936
CONESA,3,0.4335260115606936
AMENABAR,3,0.4335260115606936
CAMPANA,3,0.4335260115606936
CIUDAD DE LA PAZ,3,0.4335260115606936
VALLEJOS,3,0.4335260115606936
"SUCRE, ANTONIO JOSE DE, MCAL.",3,0.4335260115606936
ARTILLEROS,3,0.4335260115606936
HELGUERA,3,0.4335260115606936
SUPERI,3,0.4335260115606936
ECHEVERRIA,3,0.4335260115606936
"BALBIN, RICARDO, DR. AV.",3,0.4335260115606936
TRIUNVIRATO AV.,3,0.4335260115606936
COCHABAMBA,3,0.4335260115606936
BEHRING,3,0.4335260115606936
"TAMBORINI, JOSE PASCUAL",3,0.4335260115606936
REPUBLICA BOLIVARIANA DE VENEZUELA,3,0.4335260115606936
BESARES,3,0.4335260115606936
"FREIRE, RAMON, CAP. GRAL.",3,0.4335260115606936
THAMES,3,0.4335260115606936
PUMACAHUA,3,0.4335260115606936
TREINTA Y TRES ORIENTALES,3,0.4335260115606936
ARGERICH,2,0.2890173410404624
