long,lat,nro_exp,nomenclacion_par,fecha_registro_p,direccion,direccion_normalizada,tipo_obra,metros_cuadrados_obra,calle_nombre,calle_altura,barrio,comuna,comuna,codigo_postal,codigo_postal_argentino
-58.4980998697183,-34.5934875416082,34643512/18,15-71-30-21,2019-07-12,GUTENBERG 3023/27,GUTENBERG 3023,Obra Mayor,121.33,GUTENBERG,3023,Agronomia,15,Comuna 15,1419,C1419IDI
-58.4953495785954,-34.5943273453435,26241573/18,15-71-42-29a,2019-06-25,NAVARRO 2923,NAVARRO 2923,Obra Media,520.85,NAVARRO,2923,Agronomia,15,Comuna 15,1419,C1419HTE
-58.4887571903492,-34.5909977977615,10525744/18,15-61-134-12a,2019-08-13,ZAMUDIO 3549,ZAMUDIO 3549,Micro Obra,,ZAMUDIO,3549,Agronomia,15,Comuna 15,1419,C1419EFA
-58.4130496513487,-34.6139895506884,32754162/18,09-28-023-31,2019-07-19,S.DE LORIA 371/85,SANCHEZ DE LORIA 371,Obra Media,642,SANCHEZ DE LORIA,371,Almagro,5,Comuna 5,1173,C1173ACG
-58.4201850921523,-34.6100426626626,31134596/18,7-17-086-03A,2019-08-30,J.SALGUERO 76/82,"SALGUERO, JERONIMO 76",Obra Mayor,6100.61,"SALGUERO, JERONIMO",76,Almagro,5,Comuna 5,1177,C1177ADB
-58.4231683762875,-34.6084199396153,8756720/17,7-17-67-26/27,2019-08-26,DIAZ VELEZ 4001/09,DIAZ VELEZ AV. 4001,Obra Menor,41.59,DIAZ VELEZ AV.,4001,Almagro,5,Comuna 5,1200,C1200AAH
-58.4285386374425,-34.6084272495275,26746895/15,9-17-28-18g,2019-06-28,D.VELEZ 4363/69,DIAZ VELEZ AV. 4363,Obra Media,788.32,DIAZ VELEZ AV.,4363,Almagro,5,Comuna 5,1200,C1200AAK
-58.4186313159364,-34.6034081702219,23544795/18,07-17-106-2l,2019-07-15,CORRIENTES 3841/49,CORRIENTES AV. 3841,Obra Mayor,915.44,CORRIENTES AV.,3841,Almagro,5,Comuna 5,1194,C1194AAE
-58.4166226409123,-34.6039713391011,25747086/19,9-13-17-8A,2019-09-27,CORRIENTES 3684/700,CORRIENTES AV. 3684,Obra Menor,279.14,CORRIENTES AV.,3684,Almagro,5,Comuna 5,1194,C1194AAP
-58.4153236653593,-34.6035676400066,25057060/18,09-13-29-21,2019-08-27,CORRIENTES 3581/89,CORRIENTES AV. 3581,Obra Media,1632.53,CORRIENTES AV.,3581,Almagro,5,Comuna 5,1194,C1194AAB
